-BEGIN HEADER-
NASA/POWER WCRP/CMIP6 NEX-GDDP Downscaled Daily Data 
Dates (month/day/year): 04/12/2023 through 04/17/2024 
Location: Latitude  40.8056   Longitude -73.9652 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 75.84 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     CMCC_ESM2 SSP370 Precipitation Corrected (mm/day) 
QV2M            CMCC_ESM2 SSP370 Specific Humidity at 2 Meters (g/kg) 
T2M             CMCC_ESM2 SSP370 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,MO,DY,PRECTOTCORR,QV2M,T2M
2023,9,9,3.75,11.89,20.1
2023,9,10,0.0,9.85,18.85
2023,9,11,0.0,9.75,18.66
2023,9,12,0.0,7.41,15.85
2023,9,13,0.0,7.86,15.8
2023,9,14,30.48,10.04,15.05
2023,9,15,7.15,12.28,19.68
2023,9,16,0.0,8.78,18.22
2023,9,17,0.0,7.79,16.38
2023,9,18,0.0,8.51,16.66
2023,9,19,1.33,11.15,18.56
2023,9,20,0.05,6.44,14.88
2023,9,21,0.0,5.86,13.49
2023,9,22,0.0,7.07,14.88
2023,9,23,0.0,8.43,15.9
2023,9,24,0.0,9.72,17.65
2023,9,25,0.51,11.38,20.12
2023,9,26,0.0,8.77,17.55
2023,9,27,0.0,9.49,18.66
2023,9,28,0.0,12.42,22.49
2023,9,29,3.64,12.62,21.77
2023,9,30,18.54,11.62,17.48
2023,10,1,30.19,11.97,16.3
2023,10,2,3.89,7.3,12.07
2023,10,3,0.0,6.44,11.89
2023,10,4,0.0,6.0,12.49
2023,10,5,0.0,5.8,12.39
2023,10,6,0.0,6.43,14.82
2023,10,7,0.0,7.51,16.55
2023,10,8,0.0,7.25,16.85
2023,10,9,0.0,4.4,11.7
2023,10,10,0.0,4.66,10.45
2023,10,11,0.0,6.9,12.88
2023,10,12,2.41,9.21,15.97
2023,10,13,20.28,11.16,17.13
2023,10,14,0.0,10.21,17.93
2023,10,15,0.0,9.23,16.49
2023,10,16,15.85,11.36,17.61
2023,10,17,10.21,11.56,17.58
2023,10,18,0.0,5.96,11.77
2023,10,19,0.0,4.57,8.5
2023,10,20,0.0,4.66,9.17
2023,10,21,0.0,4.94,9.86
2023,10,22,0.0,5.78,11.49
2023,10,23,0.0,4.01,7.38
2023,10,24,0.0,3.86,6.96
2023,10,25,14.84,8.02,11.38
2023,10,26,41.2,8.73,13.45
2023,10,27,0.0,4.17,6.85
2023,10,28,0.0,3.14,4.17
2023,10,29,0.0,3.0,3.58
2023,10,30,0.0,3.56,5.8
2023,10,31,0.0,4.01,8.32
2023,11,1,0.0,4.13,8.77
2023,11,2,0.0,4.61,8.21
2023,11,3,0.0,4.91,8.88
2023,11,4,0.0,5.01,9.08
2023,11,5,0.0,5.29,9.41
2023,11,6,0.0,5.58,9.74
2023,11,7,0.0,3.95,5.85
2023,11,8,3.56,5.22,7.88
2023,11,9,0.0,5.97,11.17
2023,11,10,0.09,6.32,10.15
2023,11,11,3.76,8.4,12.67
2023,11,12,1.71,8.48,14.07
2023,11,13,7.74,7.67,10.29
2023,11,14,1.56,4.53,7.42
2023,11,15,0.0,2.81,5.82
2023,11,16,3.21,3.43,3.28
2023,11,17,7.67,4.21,3.75
2023,11,18,0.0,2.44,2.15
2023,11,19,3.44,4.67,5.44
2023,11,20,24.01,6.51,9.48
2023,11,21,0.0,3.18,5.44
2023,11,22,0.0,3.34,4.58
2023,11,23,0.0,4.79,8.17
2023,11,24,0.34,3.98,7.37
2023,11,25,0.87,3.62,7.16
2023,11,26,0.0,2.98,3.42
2023,11,27,5.04,6.48,9.2
2023,11,28,0.0,2.5,3.49
2023,11,29,0.53,2.4,0.38
2023,11,30,11.97,5.14,4.61
2023,12,1,5.51,2.59,-0.25
2023,12,2,0.0,1.64,-0.5
2023,12,3,0.0,3.7,5.05
2023,12,4,0.0,5.22,7.7
2023,12,5,0.0,4.98,8.66
2023,12,6,0.12,2.58,2.53
2023,12,7,5.91,5.22,6.63
2023,12,8,2.41,5.22,7.48
2023,12,9,2.33,2.46,1.51
2023,12,10,17.73,5.4,4.99
2023,12,11,4.07,7.33,11.76
2023,12,12,17.4,7.27,11.01
2023,12,13,4.14,6.28,9.45
2023,12,14,0.0,4.79,7.66
2023,12,15,0.0,4.33,5.88
2023,12,16,0.0,4.04,4.49
2023,12,17,0.0,1.41,-2.1
2023,12,18,0.0,1.72,-0.23
2023,12,19,4.34,5.68,6.69
2023,12,20,14.37,5.19,0.83
2023,12,21,0.0,1.44,-0.53
2023,12,22,0.0,1.8,0.88
2023,12,23,0.1,1.28,-4.04
2023,12,24,3.76,2.01,-2.43
2023,12,25,42.54,3.14,-1.4
2023,12,26,0.0,1.94,-3.45
2023,12,27,0.35,1.96,-3.9
2023,12,28,0.0,1.92,-4.98
2023,12,29,0.0,2.19,-1.96
2023,12,30,3.22,3.14,1.17
2023,12,31,2.2,2.87,0.34
2024,1,1,0.0,2.26,-0.38
2024,1,2,0.09,3.3,0.79
2024,1,3,27.97,5.56,7.12
2024,1,4,0.0,3.36,3.17
2024,1,5,0.0,1.67,-1.05
2024,1,6,5.63,1.84,-3.28
2024,1,7,5.19,3.31,0.1
2024,1,8,1.13,3.18,1.19
2024,1,9,3.6,3.72,2.62
2024,1,10,2.5,3.69,2.9
2024,1,11,14.76,3.61,2.07
2024,1,12,2.1,2.44,0.18
2024,1,13,0.83,2.13,-0.73
2024,1,14,2.99,3.55,3.05
2024,1,15,0.4,3.08,2.21
2024,1,16,0.0,1.43,-3.37
