P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category
C-JAN-19-052,Khoriya,Sarlahi,Central,0.19,0.05,4.21,8.35,6.28,0.39,0.7927,Medium-Low
C-JAN-19-063,Belhi,Sarlahi,Central,0.19,0.05,4.21,8.35,6.28,0.39,0.7916,Medium-Low
W-LUM-48-060,Ratanapur,Nawalparasi,Western,0.34,0.04,5.61,3.51,4.56,0.39,0.7915,Medium-Low
C-JAN-22-038,Malu,Dolakha,Central,0.34,0.03,7.53,5.86,6.70,0.39,0.7910,Medium-Low
C-JAN-17-031,Dhanauji,Dhanusa,Central,0.10,0.09,4.78,7.70,6.24,0.39,0.7902,Medium-Low
C-NAR-33-099,Umarjan,Bara,Central,0.16,0.06,4.93,7.20,6.06,0.39,0.7897,Medium-Low
C-BAG-29-015,Thulogoun,Rasuwa,Central,0.61,0.01,5.46,7.86,6.66,0.38,0.7887,Medium-Low
C-JAN-20-041,Ranibas,Sindhuli,Central,0.19,0.05,5.19,6.55,5.87,0.38,0.7886,Medium-Low
C-NAR-32-071,Pipariya(Dostiya),Rautahat,Central,0.17,0.05,4.38,9.14,6.76,0.38,0.7879,Medium-Low
C-NAR-32-038,IharbariJyutahi,Rautahat,Central,0.12,0.07,4.38,9.14,6.76,0.38,0.7878,Medium-Low
C-JAN-17-007,Balabakhar,Dhanusa,Central,0.11,0.08,4.78,7.70,6.24,0.38,0.7865,Medium-Low
C-NAR-34-005,Bagbana,Parsa,Central,0.14,0.07,4.85,6.07,5.46,0.38,0.7860,Medium-Low
C-JAN-17-087,Shantipur,Dhanusa,Central,0.15,0.06,4.78,7.70,6.24,0.38,0.7841,Medium-Low
C-JAN-18-026,GaidahaBhelpur,Mahottari,Central,0.16,0.05,4.33,8.62,6.48,0.38,0.7838,Medium-Low
C-JAN-18-048,Matihani,Mahottari,Central,0.09,0.10,4.33,8.62,6.48,0.38,0.7837,Medium-Low
C-JAN-18-047,Manara,Mahottari,Central,0.12,0.07,4.33,8.62,6.48,0.38,0.7818,Medium-Low
W-LUM-48-070,Tamasariya,Nawalparasi,Western,0.11,0.11,5.61,3.51,4.56,0.38,0.7815,Medium-Low
C-JAN-19-015,BelwaJabdi,Sarlahi,Central,0.15,0.06,4.21,8.35,6.28,0.38,0.7814,Medium-Low
C-NAR-33-080,Prasauni,Bara,Central,0.11,0.09,4.93,7.20,6.06,0.38,0.7805,Medium-Low
C-NAR-34-046,MadhubanMathaul,Parsa,Central,0.14,0.07,4.85,6.07,5.46,0.38,0.7797,Medium-Low
C-NAR-32-027,FatuwaHarsaha,Rautahat,Central,0.19,0.04,4.38,9.14,6.76,0.38,0.7795,Medium-Low
C-NAR-32-068,PatharaBudharampur,Rautahat,Central,0.11,0.07,4.38,9.14,6.76,0.38,0.7792,Medium-Low
C-NAR-32-097,Tengraha,Rautahat,Central,0.13,0.06,4.38,9.14,6.76,0.38,0.7788,Medium-Low
C-NAR-34-073,Sonbarsa,Parsa,Central,0.14,0.07,4.85,6.07,5.46,0.38,0.7772,Medium-Low
C-NAR-33-004,Avab,Bara,Central,0.17,0.05,4.93,7.20,6.06,0.38,0.7769,Medium-Low
C-JAN-19-070,Musauli,Sarlahi,Central,0.16,0.05,4.21,8.35,6.28,0.38,0.7765,Medium-Low
W-LUM-48-043,Narayani,Nawalparasi,Western,0.13,0.09,5.61,3.51,4.56,0.38,0.7759,Medium-Low
C-JAN-18-004,BairgiyaBanchauri,Mahottari,Central,0.12,0.07,4.33,8.62,6.48,0.38,0.7756,Medium-Low
C-NAR-32-032,GarudaBairiya,Rautahat,Central,0.17,0.05,4.38,9.14,6.76,0.38,0.7756,Medium-Low
C-JAN-17-066,Makhanaha,Dhanusa,Central,0.12,0.07,4.78,7.70,6.24,0.38,0.7754,Medium-Low
C-NAR-33-059,Lipanimal,Bara,Central,0.11,0.08,4.93,7.20,6.06,0.38,0.7754,Medium-Low
C-JAN-18-062,Ratauli,Mahottari,Central,0.14,0.06,4.33,8.62,6.48,0.38,0.7744,Medium-Low
C-JAN-17-039,Godar,Dhanusa,Central,0.11,0.08,4.78,7.70,6.24,0.38,0.7740,Medium-Low
C-JAN-17-089,SingyahiMaidan,Dhanusa,Central,0.09,0.10,4.78,7.70,6.24,0.38,0.7738,Medium-Low
C-JAN-18-043,Mahadaiyatapanpur,Mahottari,Central,0.14,0.06,4.33,8.62,6.48,0.38,0.7736,Medium-Low
C-NAR-33-093,Sinhasani,Bara,Central,0.16,0.06,4.93,7.20,6.06,0.38,0.7717,Medium-Low
C-NAR-35-013,Gardi,Chitawan,Central,0.14,0.09,5.38,2.53,3.96,0.38,0.7715,Medium-Low
C-JAN-22-049,Suri,Dolakha,Central,0.25,0.03,7.53,5.86,6.70,0.38,0.7711,Medium-Low
C-NAR-32-040,Jatahara,Rautahat,Central,0.09,0.09,4.38,9.14,6.76,0.38,0.7700,Medium-Low
C-JAN-18-058,PokharibhindaSamgrampur,Mahottari,Central,0.15,0.05,4.33,8.62,6.48,0.38,0.7699,Medium-Low
C-NAR-33-030,Dahiyar,Bara,Central,0.12,0.07,4.93,7.20,6.06,0.38,0.7696,Medium-Low
C-JAN-19-041,Hathiyol,Sarlahi,Central,0.10,0.09,4.21,8.35,6.28,0.38,0.7694,Medium-Low
C-JAN-19-096,Sohadawa,Sarlahi,Central,0.20,0.04,4.21,8.35,6.28,0.37,0.7688,Medium-Low
C-JAN-17-070,Mithileswornikas,Dhanusa,Central,0.11,0.07,4.78,7.70,6.24,0.37,0.7671,Medium-Low
C-JAN-19-032,Gadahiyabairi,Sarlahi,Central,0.12,0.07,4.21,8.35,6.28,0.37,0.7669,Medium-Low
C-NAR-32-003,Auraiya,Rautahat,Central,0.07,0.11,4.38,9.14,6.76,0.37,0.7669,Medium-Low
C-JAN-19-060,Madhubangoth,Sarlahi,Central,0.14,0.06,4.21,8.35,6.28,0.37,0.7664,Medium-Low
C-NAR-33-046,Jhitakaiya(Uttar),Bara,Central,0.13,0.07,4.93,7.20,6.06,0.37,0.7661,Medium-Low
E-SAG-16-090,RamnagarMirchaiya,Siraha,Eastern,0.07,0.14,3.06,7.97,5.52,0.37,0.7652,Medium-Low
C-NAR-32-034,Gedahiguthi,Rautahat,Central,0.16,0.05,4.38,9.14,6.76,0.37,0.7636,Medium-Low
C-NAR-33-051,Kakadi,Bara,Central,0.21,0.04,4.93,7.20,6.06,0.37,0.7635,Medium-Low
C-JAN-22-001,Alampu,Dolakha,Central,0.42,0.02,7.53,5.86,6.70,0.37,0.7634,Medium-Low
C-NAR-34-006,BageswariTitrona,Parsa,Central,0.14,0.07,4.85,6.07,5.46,0.37,0.7623,Medium-Low
C-JAN-17-019,Bhuchakrapur,Dhanusa,Central,0.16,0.05,4.78,7.70,6.24,0.37,0.7623,Medium-Low
C-NAR-34-067,SakhuwaPrasauni,Parsa,Central,0.14,0.07,4.85,6.07,5.46,0.37,0.7611,Medium-Low
C-NAR-32-010,Basantapatti,Rautahat,Central,0.10,0.08,4.38,9.14,6.76,0.37,0.7611,Medium-Low
C-NAR-32-092,Saruatha,Rautahat,Central,0.10,0.08,4.38,9.14,6.76,0.37,0.7590,Medium-Low
C-JAN-17-013,Basahiya,Dhanusa,Central,0.10,0.08,4.78,7.70,6.24,0.37,0.7583,Medium-Low
W-GAN-37-021,Dhodeni,Lamjung,Western,0.41,0.03,5.98,3.20,4.59,0.37,0.7580,Medium-Low
C-JAN-17-028,DevpuraRupetha,Dhanusa,Central,0.10,0.08,4.78,7.70,6.24,0.37,0.7577,Medium-Low
C-NAR-33-006,Bachhanpurwa,Bara,Central,0.17,0.05,4.93,7.20,6.06,0.37,0.7575,Medium-Low
C-JAN-19-008,Balara,Sarlahi,Central,0.10,0.08,4.21,8.35,6.28,0.37,0.7566,Medium-Low
C-NAR-34-034,Harpur,Parsa,Central,0.15,0.06,4.85,6.07,5.46,0.37,0.7565,Medium-Low
C-JAN-19-083,RamnagarBahaur,Sarlahi,Central,0.12,0.07,4.21,8.35,6.28,0.37,0.7563,Medium-Low
W-LUM-48-068,Sunwal,Nawalparasi,Western,0.04,0.30,5.61,3.51,4.56,0.37,0.7560,Medium-Low
C-NAR-34-001,Alau,Parsa,Central,0.10,0.09,4.85,6.07,5.46,0.37,0.7554,Medium-Low
C-NAR-32-059,Maryadpur,Rautahat,Central,0.13,0.06,4.38,9.14,6.76,0.37,0.7529,Medium-Low
C-NAR-34-082,UdayapurDhurmi,Parsa,Central,0.12,0.07,4.85,6.07,5.46,0.37,0.7514,Medium-Low
C-JAN-19-092,Sikhauna,Sarlahi,Central,0.15,0.05,4.21,8.35,6.28,0.37,0.7502,Medium-Low
C-JAN-18-050,Nainhi,Mahottari,Central,0.09,0.09,4.33,8.62,6.48,0.37,0.7501,Medium-Low
C-NAR-33-003,Amritgang,Bara,Central,0.09,0.09,4.93,7.20,6.06,0.36,0.7481,Medium-Low
W-GAN-37-059,Tarkughat,Lamjung,Western,0.36,0.03,5.98,3.20,4.59,0.36,0.7480,Medium-Low
C-NAR-33-026,Bishunpurwa,Bara,Central,0.15,0.05,4.93,7.20,6.06,0.36,0.7477,Medium-Low
C-NAR-32-065,NarkatiyaGuthi,Rautahat,Central,0.09,0.08,4.38,9.14,6.76,0.36,0.7475,Medium-Low
C-NAR-32-093,Saunaraniya,Rautahat,Central,0.12,0.06,4.38,9.14,6.76,0.36,0.7475,Medium-Low
C-NAR-33-022,Bhatauda,Bara,Central,0.12,0.07,4.93,7.20,6.06,0.36,0.7471,Medium-Low
C-NAR-32-085,Sakhuawa,Rautahat,Central,0.14,0.05,4.38,9.14,6.76,0.36,0.7448,Medium-Low
C-NAR-35-025,MadiKalyanpur,Chitawan,Central,0.17,0.07,5.38,2.53,3.96,0.36,0.7430,Medium-Low
C-NAR-32-044,JingadawaBelbichwa,Rautahat,Central,0.11,0.06,4.38,9.14,6.76,0.36,0.7430,Medium-Low
W-GAN-37-009,Bharte,Lamjung,Western,0.45,0.02,5.98,3.20,4.59,0.36,0.7424,Medium-Low
C-JAN-17-021,Bindhi,Dhanusa,Central,0.11,0.07,4.78,7.70,6.24,0.36,0.7423,Medium-Low
C-NAR-33-053,Karaiya,Bara,Central,0.14,0.05,4.93,7.20,6.06,0.36,0.7418,Medium-Low
C-JAN-19-072,Narayanpur,Sarlahi,Central,0.21,0.04,4.21,8.35,6.28,0.36,0.7410,Medium-Low
W-GAN-38-040,Rupakot,Tanahu,Western,0.21,0.04,6.43,4.04,5.24,0.36,0.7400,Medium-Low
C-NAR-34-045,LipaniBirta,Parsa,Central,0.12,0.07,4.85,6.07,5.46,0.36,0.7391,Medium-Low
C-NAR-34-004,Bagahi,Parsa,Central,0.13,0.07,4.85,6.07,5.46,0.36,0.7389,Medium-Low
C-JAN-22-009,Bulung,Dolakha,Central,0.33,0.02,7.53,5.86,6.70,0.36,0.7384,Medium-Low
W-LUM-49-019,Devadaha,Rupandehi,Western,0.03,0.29,7.81,2.95,5.38,0.36,0.7383,Medium-Low
C-NAR-32-043,Jhunkhunwa,Rautahat,Central,0.10,0.07,4.38,9.14,6.76,0.36,0.7374,Medium-Low
C-JAN-19-012,Batraul,Sarlahi,Central,0.15,0.05,4.21,8.35,6.28,0.36,0.7373,Medium-Low
C-NAR-34-010,Basantpur,Parsa,Central,0.10,0.08,4.85,6.07,5.46,0.36,0.7371,Medium-Low
C-JAN-22-043,Orang,Dolakha,Central,0.31,0.02,7.53,5.86,6.70,0.36,0.7368,Medium-Low
C-NAR-33-012,Banjariya,Bara,Central,0.12,0.06,4.93,7.20,6.06,0.36,0.7364,Medium-Low
C-NAR-32-015,Birtiprastoka,Rautahat,Central,0.16,0.04,4.38,9.14,6.76,0.36,0.7362,Medium-Low
C-JAN-19-053,Khutauna,Sarlahi,Central,0.15,0.05,4.21,8.35,6.28,0.36,0.7356,Medium-Low
C-JAN-19-068,Motipur,Sarlahi,Central,0.18,0.04,4.21,8.35,6.28,0.36,0.7355,Medium-Low
C-JAN-22-022,Jhule,Dolakha,Central,0.30,0.02,7.53,5.86,6.70,0.36,0.7342,Medium-Low
C-NAR-33-045,Jhitakaiya(Dakshin),Bara,Central,0.08,0.09,4.93,7.20,6.06,0.36,0.7334,Medium-Low
C-NAR-33-037,GanjBhawanipur,Bara,Central,0.12,0.07,4.93,7.20,6.06,0.36,0.7329,Medium-Low
C-NAR-33-054,Khopawa,Bara,Central,0.14,0.05,4.93,7.20,6.06,0.36,0.7321,Medium-Low
C-JAN-17-063,Lohana,Dhanusa,Central,0.10,0.07,4.78,7.70,6.24,0.36,0.7319,Medium-Low
C-NAR-34-009,Basadilwa,Parsa,Central,0.13,0.07,4.85,6.07,5.46,0.36,0.7308,Medium-Low
E-SAG-14-043,TriyugaN. P.,Udayapur,Eastern,0.02,0.72,2.56,4.04,3.30,0.36,0.7296,Medium-Low
C-JAN-17-091,Sonigama,Dhanusa,Central,0.10,0.07,4.78,7.70,6.24,0.36,0.7287,Medium-Low
C-JAN-17-051,KachuriThera,Dhanusa,Central,0.12,0.06,4.78,7.70,6.24,0.35,0.7280,Medium-Low
E-SAG-16-056,Karjanha,Siraha,Eastern,0.11,0.08,3.06,7.97,5.52,0.35,0.7274,Medium-Low
C-JAN-19-082,Ramban,Sarlahi,Central,0.14,0.05,4.21,8.35,6.28,0.35,0.7267,Medium-Low
C-NAR-34-050,Maniyari,Parsa,Central,0.12,0.07,4.85,6.07,5.46,0.35,0.7266,Medium-Low
W-GAN-37-019,Chiti,Lamjung,Western,0.18,0.05,5.98,3.20,4.59,0.35,0.7264,Medium-Low
W-LUM-48-017,Dhaubadi,Nawalparasi,Western,0.16,0.06,5.61,3.51,4.56,0.35,0.7263,Medium-Low
W-GAN-37-048,Pyarjung,Lamjung,Western,0.54,0.02,5.98,3.20,4.59,0.35,0.7260,Medium-Low
C-JAN-19-086,Sakraul,Sarlahi,Central,0.14,0.05,4.21,8.35,6.28,0.35,0.7251,Medium-Low
C-NAR-33-010,Balirampur,Bara,Central,0.10,0.07,4.93,7.20,6.06,0.35,0.7247,Medium-Low
C-NAR-33-092,Sihorwa,Bara,Central,0.15,0.05,4.93,7.20,6.06,0.35,0.7245,Medium-Low
W-LUM-48-035,Kumarwarti,Nawalparasi,Western,0.17,0.06,5.61,3.51,4.56,0.35,0.7240,Medium-Low
C-NAR-32-045,Jowaha(Jokaha),Rautahat,Central,0.08,0.09,4.38,9.14,6.76,0.35,0.7231,Medium-Low
C-JAN-17-068,Marchaijhitakaiya,Dhanusa,Central,0.07,0.10,4.78,7.70,6.24,0.35,0.7225,Medium-Low
C-NAR-34-008,Bahuarbamatha,Parsa,Central,0.11,0.07,4.85,6.07,5.46,0.35,0.7223,Medium-Low
C-JAN-17-086,Satosar,Dhanusa,Central,0.12,0.06,4.78,7.70,6.24,0.35,0.7219,Medium-Low
C-JAN-21-002,Betali,Ramechhap,Central,0.14,0.05,7.16,6.06,6.61,0.35,0.7218,Medium-Low
C-JAN-18-046,MajhoraBishnupur,Mahottari,Central,0.10,0.07,4.33,8.62,6.48,0.35,0.7213,Medium-Low
C-NAR-33-083,Prasurmpur,Bara,Central,0.10,0.07,4.93,7.20,6.06,0.35,0.7209,Medium-Low
C-JAN-19-014,Belhi,Sarlahi,Central,0.19,0.04,4.21,8.35,6.28,0.35,0.7202,Medium-Low
C-NAR-33-027,Buniyad,Bara,Central,0.12,0.06,4.93,7.20,6.06,0.35,0.7202,Medium-Low
C-BAG-29-003,Chilime,Rasuwa,Central,0.46,0.01,5.46,7.86,6.66,0.35,0.7198,Medium-Low
W-GAN-37-007,Besishahar,Lamjung,Western,0.06,0.16,5.98,3.20,4.59,0.35,0.7190,Medium-Low
C-NAR-32-002,Akolawa,Rautahat,Central,0.09,0.07,4.38,9.14,6.76,0.35,0.7189,Medium-Low
C-NAR-34-047,Mahadevpatti,Parsa,Central,0.11,0.07,4.85,6.07,5.46,0.35,0.7183,Medium-Low
W-GAN-37-044,Pachok,Lamjung,Western,0.37,0.03,5.98,3.20,4.59,0.35,0.7173,Medium-Low
C-NAR-34-058,Pancharukhi,Parsa,Central,0.14,0.06,4.85,6.07,5.46,0.35,0.7166,Medium-Low
C-JAN-17-004,Bagchaura,Dhanusa,Central,0.11,0.06,4.78,7.70,6.24,0.35,0.7153,Medium-Low
C-NAR-34-022,Bisrampur,Parsa,Central,0.11,0.07,4.85,6.07,5.46,0.35,0.7149,Medium-Low
C-NAR-33-074,Pheta,Bara,Central,0.10,0.07,4.93,7.20,6.06,0.35,0.7146,Medium-Low
C-JAN-18-030,Halkhori,Mahottari,Central,0.11,0.06,4.33,8.62,6.48,0.35,0.7141,Medium-Low
C-JAN-17-023,Chakkar,Dhanusa,Central,0.10,0.07,4.78,7.70,6.24,0.35,0.7134,Medium-Low
E-KOS-06-018,DharanN. P.,Sunsari,Eastern,0.01,1.19,5.04,6.06,5.55,0.35,0.7132,Medium-Low
C-JAN-17-012,Baramajhiya,Dhanusa,Central,0.10,0.06,4.78,7.70,6.24,0.35,0.7129,Medium-Low
W-GAN-38-020,Dulegauda,Tanahu,Western,0.05,0.16,6.43,4.04,5.24,0.35,0.7128,Medium-Low
C-NAR-32-096,Tejapakar,Rautahat,Central,0.11,0.06,4.38,9.14,6.76,0.35,0.7128,Medium-Low
C-JAN-17-040,Gopalpur,Dhanusa,Central,0.13,0.05,4.78,7.70,6.24,0.35,0.7125,Medium-Low
C-JAN-17-026,Debadiha,Dhanusa,Central,0.09,0.07,4.78,7.70,6.24,0.35,0.7122,Medium-Low
C-NAR-34-007,BahauriPidari,Parsa,Central,0.13,0.06,4.85,6.07,5.46,0.35,0.7100,Medium-Low
C-JAN-19-100,TribhuwanNagar,Sarlahi,Central,0.18,0.04,4.21,8.35,6.28,0.35,0.7099,Medium-Low
C-NAR-33-020,BhaluyeeArwaliya,Bara,Central,0.10,0.07,4.93,7.20,6.06,0.35,0.7094,Medium-Low
C-NAR-33-081,Prasona,Bara,Central,0.16,0.04,4.93,7.20,6.06,0.34,0.7074,Medium-Low
C-JAN-17-020,Bhutahipaterwa,Dhanusa,Central,0.13,0.05,4.78,7.70,6.24,0.34,0.7074,Medium-Low
C-JAN-18-005,BairgiyaLaxminiya,Mahottari,Central,0.17,0.04,4.33,8.62,6.48,0.34,0.7058,Medium-Low
C-NAR-32-017,BisunpurwaManpur,Rautahat,Central,0.15,0.04,4.38,9.14,6.76,0.34,0.7056,Medium-Low
C-JAN-17-035,Duhabi,Dhanusa,Central,0.09,0.07,4.78,7.70,6.24,0.34,0.7053,Medium-Low
C-NAR-34-056,Nichuta,Parsa,Central,0.11,0.07,4.85,6.07,5.46,0.34,0.7053,Medium-Low
C-NAR-33-061,MahendraAdarsha,Bara,Central,0.13,0.05,4.93,7.20,6.06,0.34,0.7049,Medium-Low
C-JAN-19-019,Bhawanipur,Sarlahi,Central,0.18,0.03,4.21,8.35,6.28,0.34,0.7040,Medium-Low
C-NAR-34-035,JagaranathpurSira,Parsa,Central,0.11,0.07,4.85,6.07,5.46,0.34,0.7033,Medium-Low
C-NAR-34-064,Ramgadhawa,Parsa,Central,0.11,0.07,4.85,6.07,5.46,0.34,0.7019,Medium-Low
C-NAR-32-081,RajpurTulsi,Rautahat,Central,0.10,0.06,4.38,9.14,6.76,0.34,0.7003,Medium-Low
E-SAG-16-054,KalyanpurJabadi,Siraha,Eastern,0.07,0.10,3.06,7.97,5.52,0.34,0.6989,Medium-Low
C-JAN-20-007,Belghari,Sindhuli,Central,0.17,0.04,5.19,6.55,5.87,0.34,0.6983,Medium-Low
C-JAN-18-074,Sonaul,Mahottari,Central,0.14,0.04,4.33,8.62,6.48,0.34,0.6975,Medium-Low
C-NAR-34-014,Bhawanipur,Parsa,Central,0.11,0.06,4.85,6.07,5.46,0.34,0.6973,Medium-Low
C-NAR-33-084,Purainiya,Bara,Central,0.10,0.07,4.93,7.20,6.06,0.34,0.6972,Medium-Low
C-JAN-18-064,Sahorawa,Mahottari,Central,0.10,0.06,4.33,8.62,6.48,0.34,0.6970,Medium-Low
C-NAR-32-073,PipraBhagwanpur,Rautahat,Central,0.09,0.06,4.38,9.14,6.76,0.34,0.6970,Medium-Low
C-NAR-33-044,Itiyahi,Bara,Central,0.09,0.07,4.93,7.20,6.06,0.34,0.6967,Medium-Low
C-JAN-17-065,Mahuwa(Pra.Ko),Dhanusa,Central,0.11,0.06,4.78,7.70,6.24,0.34,0.6965,Medium-Low
C-JAN-17-079,Paudeswor,Dhanusa,Central,0.10,0.06,4.78,7.70,6.24,0.34,0.6963,Medium-Low
C-NAR-33-033,Dohari,Bara,Central,0.13,0.05,4.93,7.20,6.06,0.34,0.6962,Medium-Low
C-NAR-32-039,Inaruwa,Rautahat,Central,0.12,0.05,4.38,9.14,6.76,0.34,0.6956,Medium-Low
C-NAR-32-013,Bhalohiya(Pipra),Rautahat,Central,0.12,0.05,4.38,9.14,6.76,0.34,0.6955,Medium-Low
C-JAN-21-037,Namadi,Ramechhap,Central,0.14,0.04,7.16,6.06,6.61,0.34,0.6953,Medium-Low
C-NAR-33-007,BadakiFulbariya,Bara,Central,0.09,0.07,4.93,7.20,6.06,0.34,0.6950,Medium-Low
C-JAN-19-062,Mahinathpur,Sarlahi,Central,0.17,0.04,4.21,8.35,6.28,0.34,0.6947,Medium-Low
C-JAN-17-005,BahedaBala,Dhanusa,Central,0.09,0.07,4.78,7.70,6.24,0.34,0.6947,Medium-Low
C-JAN-20-015,Dudhouli,Sindhuli,Central,0.08,0.09,5.19,6.55,5.87,0.34,0.6946,Medium-Low
C-JAN-21-047,Rasanalu,Ramechhap,Central,0.13,0.05,7.16,6.06,6.61,0.34,0.6935,Medium-Low
C-JAN-17-029,Dhabouli,Dhanusa,Central,0.08,0.07,4.78,7.70,6.24,0.34,0.6932,Medium-Low
W-GAN-37-040,Mohoriyakot,Lamjung,Western,0.36,0.02,5.98,3.20,4.59,0.34,0.6932,Medium-Low
C-JAN-17-095,ThadiJhijha,Dhanusa,Central,0.08,0.07,4.78,7.70,6.24,0.34,0.6919,Medium-Low
C-NAR-33-073,Pathera,Bara,Central,0.12,0.05,4.93,7.20,6.06,0.34,0.6918,Medium-Low
C-NAR-34-039,Jhouwaguthi,Parsa,Central,0.11,0.07,4.85,6.07,5.46,0.34,0.6911,Medium-Low
C-JAN-18-024,FulahattaParikauli,Mahottari,Central,0.10,0.06,4.33,8.62,6.48,0.34,0.6911,Medium-Low
C-JAN-17-052,KajaraRamaul,Dhanusa,Central,0.11,0.05,4.78,7.70,6.24,0.34,0.6895,Medium-Low
C-JAN-20-051,Tandi,Sindhuli,Central,0.07,0.09,5.19,6.55,5.87,0.34,0.6886,Medium-Low
C-JAN-17-053,Kanakpatti,Dhanusa,Central,0.10,0.06,4.78,7.70,6.24,0.34,0.6880,Medium-Low
C-NAR-33-095,Tedhakatti,Bara,Central,0.13,0.05,4.93,7.20,6.06,0.34,0.6879,Medium-Low
C-NAR-32-042,Jethrahiya,Rautahat,Central,0.13,0.04,4.38,9.14,6.76,0.34,0.6876,Medium-Low
C-NAR-34-062,Pokhariya,Parsa,Central,0.10,0.07,4.85,6.07,5.46,0.34,0.6872,Medium-Low
C-NAR-32-011,Basatpur,Rautahat,Central,0.10,0.06,4.38,9.14,6.76,0.33,0.6870,Medium-Low
C-JAN-22-013,Chyama,Dolakha,Central,0.20,0.03,7.53,5.86,6.70,0.33,0.6864,Medium-Low
C-NAR-34-077,SugauliPartewa,Parsa,Central,0.12,0.06,4.85,6.07,5.46,0.33,0.6862,Medium-Low
C-NAR-32-066,Pacharukhi,Rautahat,Central,0.10,0.05,4.38,9.14,6.76,0.33,0.6852,Medium-Low
C-JAN-19-017,Bhagawatipur,Sarlahi,Central,0.13,0.04,4.21,8.35,6.28,0.33,0.6850,Medium-Low
W-LUM-48-033,Kotathar,Nawalparasi,Western,0.26,0.03,5.61,3.51,4.56,0.33,0.6849,Medium-Low
C-NAR-34-071,ShivaWorga,Parsa,Central,0.10,0.07,4.85,6.07,5.46,0.33,0.6845,Medium-Low
C-JAN-17-061,Laxminiwas,Dhanusa,Central,0.16,0.04,4.78,7.70,6.24,0.33,0.6845,Medium-Low
C-NAR-34-013,BeriyaBirta(Wa. Pu.),Parsa,Central,0.10,0.06,4.85,6.07,5.46,0.33,0.6842,Medium-Low
W-GAN-38-041,Satiswara,Tanahu,Western,0.18,0.04,6.43,4.04,5.24,0.33,0.6840,Medium-Low
C-JAN-21-051,Sukajor,Ramechhap,Central,0.15,0.04,7.16,6.06,6.61,0.33,0.6831,Medium-Low
C-NAR-33-015,Basantpur,Bara,Central,0.09,0.07,4.93,7.20,6.06,0.33,0.6830,Medium-Low
C-NAR-33-058,LaxmipurKotwali,Bara,Central,0.10,0.06,4.93,7.20,6.06,0.33,0.6828,Medium-Low
C-JAN-22-029,Khare,Dolakha,Central,0.29,0.02,7.53,5.86,6.70,0.33,0.6826,Medium-Low
C-NAR-32-023,Dipahi,Rautahat,Central,0.14,0.04,4.38,9.14,6.76,0.33,0.6819,Medium-Low
C-JAN-17-002,Aurahi,Dhanusa,Central,0.10,0.06,4.78,7.70,6.24,0.33,0.6811,Medium-Low
C-JAN-18-001,Anakar,Mahottari,Central,0.10,0.06,4.33,8.62,6.48,0.33,0.6806,Medium-Low
C-JAN-17-101,Yadukush,Dhanusa,Central,0.09,0.06,4.78,7.70,6.24,0.33,0.6803,Medium-Low
C-JAN-18-075,SugaVawani,Mahottari,Central,0.08,0.07,4.33,8.62,6.48,0.33,0.6791,Medium-Low
E-KOS-06-027,ItahariN. P.,Sunsari,Eastern,0.01,0.76,5.04,6.06,5.55,0.33,0.6790,Medium-Low
C-JAN-20-018,Hatpate,Sindhuli,Central,0.07,0.08,5.19,6.55,5.87,0.33,0.6790,Medium-Low
C-JAN-17-078,Paterwa,Dhanusa,Central,0.11,0.05,4.78,7.70,6.24,0.33,0.6786,Medium-Low
C-NAR-34-076,SugauliBirta,Parsa,Central,0.10,0.06,4.85,6.07,5.46,0.33,0.6776,Medium-Low
C-NAR-33-067,Narahi,Bara,Central,0.12,0.05,4.93,7.20,6.06,0.33,0.6775,Medium-Low
C-JAN-19-031,Fulparasi,Sarlahi,Central,0.15,0.04,4.21,8.35,6.28,0.33,0.6734,Medium-Low
C-JAN-22-020,Hawa,Dolakha,Central,0.30,0.02,7.53,5.86,6.70,0.33,0.6731,Medium-Low
C-JAN-17-042,HansapurKathpula,Dhanusa,Central,0.11,0.05,4.78,7.70,6.24,0.33,0.6718,Medium-Low
C-NAR-32-063,Mithuawa,Rautahat,Central,0.13,0.04,4.38,9.14,6.76,0.33,0.6716,Medium-Low
C-NAR-33-024,Bishrampur,Bara,Central,0.09,0.06,4.93,7.20,6.06,0.33,0.6712,Medium-Low
C-NAR-33-078,PipraBasantapur,Bara,Central,0.13,0.04,4.93,7.20,6.06,0.33,0.6709,Medium-Low
C-NAR-35-001,Ayodhyapuri,Chitawan,Central,0.08,0.11,5.38,2.53,3.96,0.33,0.6702,Medium-Low
C-JAN-17-038,Ghodghans,Dhanusa,Central,0.10,0.06,4.78,7.70,6.24,0.33,0.6701,Medium-Low
C-JAN-19-016,Bhadsar,Sarlahi,Central,0.14,0.04,4.21,8.35,6.28,0.33,0.6696,Medium-Low
C-NAR-33-065,Matiarwa,Bara,Central,0.09,0.07,4.93,7.20,6.06,0.33,0.6693,Medium-Low
C-NAR-33-048,Kabahigoth,Bara,Central,0.08,0.07,4.93,7.20,6.06,0.33,0.6676,Medium-Low
C-NAR-34-051,Masihani,Parsa,Central,0.10,0.06,4.85,6.07,5.46,0.33,0.6673,Medium-Low
