P_CODE,VDC_NAME,DISTRICT,REGION,Hazard (Intensity),Exposure,Housing,Poverty,Vulnerability,Severity,Severity Normalized,Severity category
W-GAN-36-025,Ghairung,Gorkha,Western,2.37,0.04,6.44,5.21,5.83,0.83,1.6966,Medium-High
C-BAG-24-059,Methinkot,Kavrepalanchok,Central,2.39,0.05,6.46,3.31,4.88,0.83,1.6963,Medium-High
C-BAG-28-025,Jiling,Nuwakot,Central,1.49,0.06,5.91,5.85,5.88,0.83,1.6942,Medium-High
C-BAG-28-057,Taruka,Nuwakot,Central,1.77,0.05,5.91,5.85,5.88,0.82,1.6893,Medium-High
C-NAR-35-002,Bachhyauli,Chitawan,Central,1.25,0.11,5.38,2.53,3.96,0.82,1.6850,Medium-High
C-BAG-28-031,KhadagBhanjyang,Nuwakot,Central,1.49,0.06,5.91,5.85,5.88,0.82,1.6839,Medium-High
C-BAG-26-010,Jhaukhel,Bhaktapur,Central,1.53,0.08,8.23,0.89,4.56,0.82,1.6838,Medium-High
C-BAG-26-014,Nankhel,Bhaktapur,Central,2.15,0.06,8.23,0.89,4.56,0.82,1.6833,Medium-High
W-GAN-36-007,Bakrang,Gorkha,Western,3.06,0.03,6.44,5.21,5.83,0.82,1.6829,Medium-High
C-BAG-28-059,Thansing,Nuwakot,Central,1.49,0.06,5.91,5.85,5.88,0.82,1.6807,Medium-High
C-BAG-24-012,Budhakhani,Kavrepalanchok,Central,2.76,0.04,6.46,3.31,4.88,0.82,1.6748,Medium-High
C-NAR-31-025,Khairang,Makwanpur,Central,3.60,0.03,4.99,3.64,4.32,0.81,1.6705,Medium-High
C-JAN-19-056,Lalbandi,Sarlahi,Central,0.57,0.15,4.21,8.35,6.28,0.81,1.6699,Medium-High
C-BAG-24-072,Rayalebhir,Kavrepalanchok,Central,2.50,0.04,6.46,3.31,4.88,0.81,1.6677,Medium-High
C-NAR-31-033,Nibuwatar,Makwanpur,Central,2.85,0.04,4.99,3.64,4.32,0.81,1.6677,Medium-High
C-BAG-30-024,Khari,Dhading,Central,2.00,0.04,6.82,5.15,5.99,0.81,1.6667,Medium-High
C-BAG-24-089,TukuchaNala,Kavrepalanchok,Central,2.18,0.05,6.46,3.31,4.88,0.81,1.6653,Medium-High
C-BAG-27-042,NaikapNayaBhanjyang,Kathmandu,Central,1.23,0.08,8.86,1.82,5.34,0.81,1.6637,Medium-High
C-NAR-31-005,Betini,Makwanpur,Central,3.59,0.03,4.99,3.64,4.32,0.81,1.6624,Medium-High
W-GAN-36-020,Dhuwakot,Gorkha,Western,2.08,0.04,6.44,5.21,5.83,0.81,1.6598,Medium-High
C-BAG-27-044,Nayapati,Kathmandu,Central,1.33,0.07,8.86,1.82,5.34,0.81,1.6596,Medium-High
C-BAG-24-034,HokseBazar,Kavrepalanchok,Central,2.29,0.05,6.46,3.31,4.88,0.81,1.6588,Medium-High
C-JAN-19-043,Ishworpur,Sarlahi,Central,0.39,0.22,4.21,8.35,6.28,0.81,1.6566,Medium-High
C-BAG-23-077,ThuloSirubari,Sindhupalchok,Central,1.28,0.06,6.85,6.57,6.71,0.81,1.6557,Medium-High
C-JAN-21-003,Bethan,Ramechhap,Central,1.67,0.05,7.16,6.06,6.61,0.81,1.6523,Medium-High
C-JAN-21-039,Pakarbas,Ramechhap,Central,1.21,0.07,7.16,6.06,6.61,0.81,1.6518,Medium-High
C-NAR-35-014,Gitanagar,Chitawan,Central,0.92,0.14,5.38,2.53,3.96,0.80,1.6489,Medium-High
C-BAG-24-084,SimalchourSyampati,Kavrepalanchok,Central,2.71,0.04,6.46,3.31,4.88,0.80,1.6472,Medium-High
C-BAG-28-027,Kakani,Nuwakot,Central,1.17,0.08,5.91,5.85,5.88,0.80,1.6434,Medium-High
C-BAG-30-010,Dhola,Dhading,Central,2.08,0.04,6.82,5.15,5.99,0.80,1.6426,Medium-High
C-BAG-27-049,Satungal,Kathmandu,Central,0.90,0.11,8.86,1.82,5.34,0.80,1.6421,Medium-High
C-BAG-28-011,Charghare,Nuwakot,Central,1.57,0.06,5.91,5.85,5.88,0.80,1.6418,Medium-High
C-BAG-24-058,MathurapatiFulbari,Kavrepalanchok,Central,2.27,0.05,6.46,3.31,4.88,0.80,1.6341,Medium-High
C-NAR-31-043,Thingan,Makwanpur,Central,2.67,0.04,4.99,3.64,4.32,0.80,1.6322,Medium-High
C-BAG-24-031,Ghartichhap,Kavrepalanchok,Central,3.83,0.03,6.46,3.31,4.88,0.79,1.6287,Medium-High
C-NAR-35-037,Siddi,Chitawan,Central,3.22,0.04,5.38,2.53,3.96,0.79,1.6280,Medium-High
C-BAG-27-055,Talkududechour,Kathmandu,Central,3.19,0.03,8.86,1.82,5.34,0.79,1.6270,Medium-High
W-GAN-36-062,Tanglichok,Gorkha,Western,2.48,0.03,6.44,5.21,5.83,0.79,1.6269,Medium-High
C-BAG-24-043,Khanalthok,Kavrepalanchok,Central,2.11,0.05,6.46,3.31,4.88,0.79,1.6251,Medium-High
C-JAN-18-045,Maisthan,Mahottari,Central,0.75,0.10,4.33,8.62,6.48,0.79,1.6250,Medium-High
C-BAG-23-014,Choutara,Sindhupalchok,Central,1.21,0.06,6.85,6.57,6.71,0.79,1.6231,Medium-High
C-BAG-23-002,Badegau,Sindhupalchok,Central,1.33,0.05,6.85,6.57,6.71,0.79,1.6170,Medium-High
W-LUM-48-041,Mukundapur,Nawalparasi,Western,0.80,0.13,5.61,3.51,4.56,0.79,1.6168,Medium-High
C-JAN-19-071,NarayanKhola,Sarlahi,Central,1.76,0.04,4.21,8.35,6.28,0.79,1.6164,Medium-High
C-BAG-23-042,Lisankhu,Sindhupalchok,Central,1.88,0.04,6.85,6.57,6.71,0.79,1.6158,Medium-High
C-BAG-27-039,Matatirtha,Kathmandu,Central,1.49,0.06,8.86,1.82,5.34,0.79,1.6154,Medium-High
W-GAN-36-061,Tandrang,Gorkha,Western,1.93,0.04,6.44,5.21,5.83,0.79,1.6137,Medium-High
W-GAN-36-043,Masel,Gorkha,Western,2.12,0.04,6.44,5.21,5.83,0.79,1.6116,Medium-High
W-GAN-36-003,AaruChanuate,Gorkha,Western,1.87,0.04,6.44,5.21,5.83,0.79,1.6107,Medium-High
C-BAG-24-060,Milche,Kavrepalanchok,Central,3.58,0.03,6.46,3.31,4.88,0.78,1.6079,Medium-High
C-JAN-19-049,Kalinjor,Sarlahi,Central,1.39,0.06,4.21,8.35,6.28,0.78,1.6078,Medium-High
C-BAG-28-033,KholegaunKhanigau,Nuwakot,Central,1.50,0.05,5.91,5.85,5.88,0.78,1.6072,Medium-High
