date,temperature_2m_mean
2020-05-05 18:15:00+00:00,16.874418
2020-05-06 18:15:00+00:00,16.136919
2020-05-07 18:15:00+00:00,17.805666
2020-05-08 18:15:00+00:00,18.78275
2020-05-09 18:15:00+00:00,18.628584
2020-05-10 18:15:00+00:00,18.9765
2020-05-11 18:15:00+00:00,18.664
2020-05-12 18:15:00+00:00,19.466084
2020-05-13 18:15:00+00:00,19.8265
2020-05-14 18:15:00+00:00,19.953585
2020-05-15 18:15:00+00:00,21.25775
2020-05-16 18:15:00+00:00,21.403585
2020-05-17 18:15:00+00:00,20.578583
2020-05-18 18:15:00+00:00,20.511917
2020-05-19 18:15:00+00:00,20.907751
2020-05-20 18:15:00+00:00,19.732748
2020-05-21 18:15:00+00:00,21.191084
2020-05-22 18:15:00+00:00,20.5765
2020-05-23 18:15:00+00:00,21.259832
2020-05-24 18:15:00+00:00,21.914001
2020-05-25 18:15:00+00:00,20.626501
2020-05-26 18:15:00+00:00,20.464
2020-05-27 18:15:00+00:00,18.924417
2020-05-28 18:15:00+00:00,19.255669
2020-05-29 18:15:00+00:00,19.639002
2020-05-30 18:15:00+00:00,19.691084
2020-05-31 18:15:00+00:00,20.155668
2020-06-01 18:15:00+00:00,21.076502
2020-06-02 18:15:00+00:00,21.382751
2020-06-03 18:15:00+00:00,19.582754
2020-06-04 18:15:00+00:00,18.741085
2020-06-05 18:15:00+00:00,20.076498
2020-06-06 18:15:00+00:00,21.11192
2020-06-07 18:15:00+00:00,21.70775
2020-06-08 18:15:00+00:00,21.939001
2020-06-09 18:15:00+00:00,22.351501
2020-06-10 18:15:00+00:00,22.482748
2020-06-11 18:15:00+00:00,22.582754
2020-06-12 18:15:00+00:00,22.43067
2020-06-13 18:15:00+00:00,22.276503
2020-06-14 18:15:00+00:00,21.807749
2020-06-15 18:15:00+00:00,21.666082
2020-06-16 18:15:00+00:00,22.316084
2020-06-17 18:15:00+00:00,21.9265
2020-06-18 18:15:00+00:00,21.997335
2020-06-19 18:15:00+00:00,22.14525
2020-06-20 18:15:00+00:00,21.9765
2020-06-21 18:15:00+00:00,21.564003
2020-06-22 18:15:00+00:00,22.793167
2020-06-23 18:15:00+00:00,22.955667
2020-06-24 18:15:00+00:00,21.14525
2020-06-25 18:15:00+00:00,22.266085
2020-06-26 18:15:00+00:00,22.355669
2020-06-27 18:15:00+00:00,21.501501
2020-06-28 18:15:00+00:00,22.291084
2020-06-29 18:15:00+00:00,22.086916
2020-06-30 18:15:00+00:00,22.761915
2020-07-01 18:15:00+00:00,23.245253
2020-07-02 18:15:00+00:00,23.2015
2020-07-03 18:15:00+00:00,22.445251
2020-07-04 18:15:00+00:00,22.213999
2020-07-05 18:15:00+00:00,22.759834
2020-07-06 18:15:00+00:00,22.507751
2020-07-07 18:15:00+00:00,23.259832
2020-07-08 18:15:00+00:00,22.630667
2020-07-09 18:15:00+00:00,22.043169
2020-07-10 18:15:00+00:00,22.197336
2020-07-11 18:15:00+00:00,22.463999
2020-07-12 18:15:00+00:00,22.120249
2020-07-13 18:15:00+00:00,22.066084
2020-07-14 18:15:00+00:00,22.693167
2020-07-15 18:15:00+00:00,22.911919
2020-07-16 18:15:00+00:00,22.822334
2020-07-17 18:15:00+00:00,22.445246
2020-07-18 18:15:00+00:00,22.030668
2020-07-19 18:15:00+00:00,21.128584
2020-07-20 18:15:00+00:00,21.066084
2020-07-21 18:15:00+00:00,21.9765
2020-07-22 18:15:00+00:00,21.934835
2020-07-23 18:15:00+00:00,22.25775
2020-07-24 18:15:00+00:00,22.453585
2020-07-25 18:15:00+00:00,22.851501
2020-07-26 18:15:00+00:00,22.784834
2020-07-27 18:15:00+00:00,22.536919
2020-07-28 18:15:00+00:00,22.030668
2020-07-29 18:15:00+00:00,22.174416
2020-07-30 18:15:00+00:00,22.416084
2020-07-31 18:15:00+00:00,22.328583
2020-08-01 18:15:00+00:00,23.476503
2020-08-02 18:15:00+00:00,23.341085
2020-08-03 18:15:00+00:00,24.834833
2020-08-04 18:15:00+00:00,24.082754
2020-08-05 18:15:00+00:00,23.45775
2020-08-06 18:15:00+00:00,23.170252
2020-08-07 18:15:00+00:00,23.466087
2020-08-08 18:15:00+00:00,22.809837
2020-08-09 18:15:00+00:00,22.659836
2020-08-10 18:15:00+00:00,22.90567
2020-08-11 18:15:00+00:00,22.20775
2020-08-12 18:15:00+00:00,22.95775
2020-08-13 18:15:00+00:00,23.180672
2020-08-14 18:15:00+00:00,22.6765
2020-08-15 18:15:00+00:00,23.001503
2020-08-16 18:15:00+00:00,22.932747
2020-08-17 18:15:00+00:00,23.061918
2020-08-18 18:15:00+00:00,22.264
2020-08-19 18:15:00+00:00,22.328585
2020-08-20 18:15:00+00:00,22.297335
2020-08-21 18:15:00+00:00,22.184835
2020-08-22 18:15:00+00:00,22.049417
2020-08-23 18:15:00+00:00,22.705667
2020-08-24 18:15:00+00:00,22.955667
2020-08-25 18:15:00+00:00,22.232752
2020-08-26 18:15:00+00:00,22.418167
2020-08-27 18:15:00+00:00,22.016085
2020-08-28 18:15:00+00:00,22.053583
2020-08-29 18:15:00+00:00,22.159836
2020-08-30 18:15:00+00:00,22.607752
2020-08-31 18:15:00+00:00,23.199415
2020-09-01 18:15:00+00:00,22.657753
2020-09-02 18:15:00+00:00,21.968168
